rank,Pick1,Pick2,Pick3,Name,Measured_At,Paid,Return,Score
1,ETH,UNI,ALGO,Jho,4/15/2021 0:00:00,,0.1863337028797052,18.633370287970518
2,UNI,FTXTOKEN,SUSHI,mc_scrad,4/15/2021 0:00:00,,0.1721271437699181,17.212714376991812
3,ETH,ETH,ETH,LONG ETH,4/17/2021 0:00:00,,0.14191921431712973,14.191921431712974
4,AAVE,CEL,AAVE,stooart,4/17/2021 0:00:00,,0.13199844455550547,13.199844455550547
5,DOGE,ETH,AR,Zaclele,4/18/2021 0:00:00,,0.11044008404533323,11.044008404533322
6,BTC,SOL,VET,Chickee,3/29/2021 0:00:00,,0.07189959059128892,7.189959059128892
7,ETH,BNB,BNB,SquatBandit,4/6/2021 0:00:00,,0.0654201559044918,6.5420155904491795
8,BTC,ETH,BNB,V Money,4/22/2021 0:00:00,,0.038591112060825106,3.8591112060825106
9,BTC,ETH,BNB,🔝 🎩 🤠,4/14/2021 0:00:00,,0.038591112060825106,3.8591112060825106
10,BTC,ETH,BNB,Shopolopoulopoulos,4/6/2021 0:00:00,,0.038591112060825106,3.8591112060825106
11,BTC,ETH,BNB,Hunter,4/25/2021 0:00:00,,0.038591112060825106,3.8591112060825106
12,BTC,ETH,NEXO,Choukilele,4/11/2021 0:00:00,,0.030717028122252854,3.0717028122252854
13,BITTORRENT,SNX,ETH,Kryptonite,4/11/2021 0:00:00,,0.02245241560695499,2.245241560695499
14,HOT,BAT,CAKE,HotBatTakesTheCake,4/13/2021 0:00:00,,0.014813357816596873,1.4813357816596873
15,ETH,BNB,DOGE,Dawn of crytpo,4/18/2021 0:00:00,,0.002353982996008197,0.2353982996008197
16,BTC,RUNE,ETH,CryptoElite,4/11/2021 0:00:00,,-0.0057497891476551155,-0.5749789147655116
17,LTC,LTC,LTC,Big Swinging Donkey,4/12/2021 0:00:00,,-0.008198561765375034,-0.8198561765375034
18,ETH,BTC,XRP,PatMcFly,4/20/2021 0:00:00,,-0.021490539297304045,-2.1490539297304045
19,DOGE,BTC,ETH,Mati Roy,4/21/2021 0:00:00,,-0.024475060847658492,-2.447506084765849
20,BTC,ETH,DOGE,JN,4/16/2021 0:00:00,,-0.024475060847658492,-2.447506084765849
21,BTC,BTC,BTC,Aries,4/23/2021 0:00:00,,-0.05331650483282724,-5.331650483282724
22,BTC,BTC,BTC,Felicia Bootylicious,4/6/2021 0:00:00,,-0.05331650483282724,-5.331650483282724
23,BTC,BTC,BTC,LONG BTC,4/17/2021 0:00:00,,-0.05331650483282724,-5.331650483282724
24,XRP,NEO,SUSHI,DollarBillClinton,4/8/2021 0:00:00,,-0.05391213659753269,-5.391213659753269
25,XRP,DOGE,ETH,Arodo,4/12/2021 0:00:00,,-0.057727668362120954,-5.772766836212096
26,XRP,ADA,BTC,Elkmeister,4/1/2021 0:00:00,,-0.07670546785755272,-7.670546785755272
27,VET,XLM,KCS,Numanuma,4/11/2021 0:00:00,,-0.08603902408042585,-8.603902408042586
28,DOGE,XRP,IOST,Lil' B's dad,4/17/2021 0:00:00,,-0.10065907449596645,-10.065907449596645
